_id,fid,au_number,inst_name,category,iu,phone_number,location_address,location_city,location_state,location_zip_code,location_1,title,salutation,first_name,middle_init,last_name,admin_phone,admin_pho_1
21319,1,300020090,ABC Creative Play Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1 Grove Pl,Pittsburgh,PA,15236,2353, , , , , , , 
21320,2,300020130,ABC's for Children,"Licensed, Private Academic School",Allegheny IU 3,(412)344-4422,1630 Greentree Rd,Pittsburgh,PA,15220,0,Director,Ms,Kristen, ,Warzinski,(412)537-1413, 
21321,3,300020030,Abraxas Ctr Adlscnt Females,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,437 Turrett St,Pittsburgh,PA,15206,3370, , , , , , , 
21322,4,300020020,Abraxas III,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)562-0105,936 W North Ave,Pittsburgh,PA,15233,1606, , , , , , , 
21323,5,203020115,Abundant Life International School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-0333,10 N Fremont Ave,Bellevue,PA,15202,0,Principal,Pr,Gary,T,Gideon, , 
21324,6,300020115,Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)885-5200,900 Agnew Rd,Pittsburgh,PA,15227,0,Director,Mr,William, ,Styche,(412)751-4250, 
21325,7,300020102,ACLD Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)881-2253,4900 Girard Road,Pittsburgh,PA,15227,1440,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
21326,8,300020150,ACLD Tillotson School,Approved Private School,Allegheny IU 3,(412)881-2268,4900 Girard Rd,Pittsburgh,PA,15227,0,Director,Ms,Donna, ,Westbrooks-Martin,(412)731-5940, 
21327,9,303020086,Adelphoi Education at Millvale,"Licensed, Private Academic School",Allegheny IU 3,(724)543-4238,608 Farragut St,Pittsburgh,PA,15209,0,Director, ,John-Michael, ,Chmiel,(412)266-6393, 
21328,10,300020180,AGH Center for Children,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)231-0250,621 E North Ave,Pittsburgh,PA,15212,4844,Principal,Ms,Janie, ,Costello, , 
21329,11,300020650,Allison House,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,99 S Euclid Ave,Pittsburgh,PA,15202,3812, , , , , , , 
21330,12,300020380,Alt Pro Asso Comm Treat #3,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2322 Murray Ave,Pittsburgh,PA,15217,2304, , , , , , , 
21331,13,300020390,Alt Pro Asso Comm Treat #4,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,527 S Braddock Ave,Pittsburgh,PA,15221,3216, , , , , , , 
21332,14,300020410,Alt Pro Asso Comm Treat #5,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,315 N Mathilda St,Pittsburgh,PA,15224,1013, , , , , , , 
21333,15,300020340,Alt Pro Asso E L B Unit U,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,6017 E Liberty Blvd,Pittsburgh,PA,15206,2504, , , , , , , 
21334,16,300020350,Alt Pro Asso Family Dev Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,8620 Bricelyn Street Ext,Pittsburgh,PA,15221,1033, , , , , , , 
21335,17,300020360,Alt Pro Asso S Area Shelter,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,770 Broughon Road,Bethel Park,PA,15102,0, , , , , , , 
21336,18,300020500,Alt Pro Assoc G G H,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2, ,5530 Stanton Ave,Pittsburgh,PA,15206,2029, , , , , , , 
21337,19,300020370,Alt Pro Assoc I T C,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,922 N Negley Ave,Pittsburgh,PA,15206,1506, , , , , , , 
21338,20,300020420,Alt Pro Assoc Roup,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,322 Roup Ave,Pittsburgh,PA,15232,1033, , , , , , , 
21339,21,300020630,Alternative Ed Program Annex,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,734 Miller Ave,Clairton,PA,15025,1302, , , , , , , 
21340,22,203020355,Aquinas Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)444-0722,2308 West Hardies Road,Gibsonia,PA,15044,0,Principal,Mrs,Leslie,M,Mitros, , 
21341,23,203020405,Assumption School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)761-7887,35 N Jackson Ave,Pittsburgh,PA,15202,3008,Principal,Mrs,Mary Ann, ,Miller, , 
21342,24,203020455,Auberle,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)673-5800,1101 Hartman St,Mc Keesport,PA,15132,1500, , , , , , , 
21343,25,300020530,Auberle Girls Group Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,201 Caldwell Ave,Wilmerding,PA,15148,1105, , , , , , , 
21344,26,300020520,Auberle Goal I & II Apts,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,810 Evans Ave,Mc Keesport,PA,15132,2007, , , , , , , 
21345,27,300020550,Auberle Semi-Ind Living Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1028 Lincoln Way,Mc Keesport,PA,15132,1453, , , , , , , 
21346,28,300020560,Auberle Semi-Ind Living Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1318 Hamilton St,Mc Keesport,PA,15132,5211, , , , , , , 
21347,29,300020580,Auberle Shelter Group Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,122 S 3rd St,Duquesne,PA,15110,1214, , , , , , , 
21348,30,300020695,Auberle Youth & Fam Comm Prog,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1305 5th Ave,East Mc Keesport,PA,15035,1603, , , , , , , 
21349,31,300020700,Augustana Camp Association,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,7807 Saint Lawrence Ave,Pittsburgh,PA,15218,1932, , , , , , , 
21350,32,300020800,Auntie Sherrys Christ Child C,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)241-5228,8020 Frankstown Ave,Pittsburgh,PA,15221,1330, , , , , , , 
21351,33,202020555,Bellwood Kindergarten,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)366-3812,2359 W Ingomar Rd,Pittsburgh,PA,15237,1625,Principal,Ms,Linda, ,Moser, , 
21352,34,300021230,Better Beginnings Child DC Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)761-8850,537 Ohio River Blvd,Pittsburgh,PA,15202,2325, , , , , , , 
21353,35,202021005,Bishop Canevin High School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)922-7400,2700 Morange Rd,Pittsburgh,PA,15205,4243,Principal,Mr,Kenneth, ,Sinagra, , 
21354,36,203025445,Blessed Francis Seelos Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)935-1152,201 Church Rd,Wexford,PA,15090,8842,Principal,Mr,Robert, ,Reese, , 
21355,37,203027365,Blessed Trinity Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)486-7611,2510 Middle Road,Glenshaw,PA,15116,0,Principal,Mrs,Jessica, ,Rock, , 
21356,38,300021330,Boys Club of Western PA,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)682-3031,4412 Butler St,Pittsburgh,PA,15201,3096, , , , , , , 
21357,39,300021390,Bradley Center,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(999)999-9999,3710 Saxonburg Blvd,Pittsburgh,PA,15238,0, , , , , , , 
21358,40,300021400,Bradley Center - Hampton,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,3999 Middle Rd,Allison Park,PA,15101,0, , , , , , , 
21359,41,300630351,Bradley School,"Licensed, Private Academic School",Allegheny IU 3,(412)788-8219,5180 Campbells Run Road,Pittsburgh,PA,15205,0,Director,Ms,Charissa,D,Rychcik,(412)855-4817, 
21360,42,300020160,Brightside Academy,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)560-0237,935 Penn Avenue,Pittsburgh,PA,15222,0,Director,Mr,John, ,Yuhaschek,(412)697-1532,370
21361,43,203021595,Calvary Baptist Nursery & Kindergarten,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)461-6211,120 Anborn Dr,West Mifflin,PA,15122,0,Principal, ,Yvonne, ,Chasko, , 
21362,44,202021105,Campus School of Carlow University,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)578-6157,3333 5th Ave Tiernan Hall,Pittsburgh,PA,15213,3109,Principal, ,Tawana, ,Cook Purnell, , 
21363,45,203020012,Carnegie Mellon University Childrens School,"Licensed, Private Academic School",Allegheny IU 3,(412)268-2199,5000 Forbes Avenue,Pittsburgh,PA,15213,0,Director,Ms,Linda,E,Hancock,(412)268-2198, 
21364,46,203020012,Carnegie Mellon University Childrens School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)268-2199,5000 Forbes Avenue,Pittsburgh,PA,15213,0,Director,Ms,Linda,E,Hancock,(412)268-2198, 
21365,47,300021660,Carol Leone Gymnastics and Daycare,"Licensed, Private Academic School",Allegheny IU 3,(412)262-1638,551 Thorn Run Rd,Moon Township,PA,15108,0,Director,Ms,Brenda, ,Burke,(724)457-7776, 
21366,48,300021560,Carriage House Childrens Ctr,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)421-0300,5604 Solway Street,Pittsburgh,PA,15217,0,Director,Ms,Deborah,A,Welch,(724)772-2016, 
21367,49,300021630,Carrick Ave Group Home,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,10 Carrick Ave,Pittsburgh,PA,15210,4322, , , , , , , 
21368,50,300021520,Catholic Youth Assoc Pbgh,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)621-3342,286 Main St,Pittsburgh,PA,15201,2808, , , , , , , 
21369,51,202021205,Central Academy,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)566-1440,2200 Wylie Ave,Pittsburgh,PA,15219,4526,Principal,Mrs,Donna,M,Roberts, , 
21370,52,202021305,Central Catholic,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)208-3400,4720 5th Ave,Pittsburgh,PA,15213,2916,Principal,Br,Anthony, ,Baginski, , 
21371,53,300021670,Cheryls Day Care,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)921-9229,35 Ingram Ave,Pittsburgh,PA,15205,2323, , , , , , , 
21372,54,203020255,Cheswick Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)274-4846,1407 Pittsburgh St,Cheswick,PA,15024,1448,Principal,Mr,Todd,M,Rosio, , 
21373,55,300021760,Children & Yth Srvc Allgy Co,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,933 Penn Ave,Pittsburgh,PA,15222,3815, , , , , , , 
21374,56,300024910,Childrens Institute of Pittsburgh,Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)420-2487,1405 Shady Avenue,Pittsburgh,PA,15217,0,Director,Ms,Cynthia, ,Morelock,(412)335-5583, 
21375,57,300021680,Childrens Services of W PA,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)394-9396,1116 Pennsbury Blvd,Pittsburgh,PA,15205,1616, , , , , , , 
21376,58,203027965,Christ the Divine Tchr Cath Ac,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)780-7927,205 Brilliant Ave,Pittsburgh,PA,15215,3121,Principal,Mr,Mark, ,Gurich, , 
21377,59,300021770,Christian Church in PA,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,670 Rodi Rd,Penn Hills,PA,15235,4524, , , , , , , 
21378,60,300029510,Circle C Youth and Family,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2121 Noblestown Rd,Pittsburgh,PA,15205,3956, , , , , , , 
21379,61,300021830,City of McKeesport,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,201 Lysle Blvd,Mc Keesport,PA,15132,2625, , , , , , , 
21380,62,202021405,Community Day School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)521-1100,6424 Forward Ave,Pittsburgh,PA,15217,2521,Principal, ,AVi,B,Munro, , 
21381,63,300020018,Community Development Institute,"Other Private, Non-Licensed Entity", ,(412)231-3700,10 Allegheny Center,Pittsburgh,PA,15212,0, , , , , , , 
21382,64,300021810,Community Human Services Corp,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,374 Lawn St,Pittsburgh,PA,15213,4214, , , , , , , 
21383,65,300021610,Community Specialists Corporation DBA The Academy,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)885-5242,900 Agnew Rd,Pittsburgh,PA,15227,3902, , , , , , , 
21384,66,300021620,Conleys Creative Child Care,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)461-3388,3200 W Run Rd,Munhall,PA,15120,2812, , , , , , , 
21385,67,300029770,Cornerstone Christian Prep-Wilson Campus,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)466-1919,1900 Clairton Road,West Mifflin,PA,15122,0,Principal, ,Cindi, ,McCall, , 
21386,68,300021890,Council 3 Rvs Amr in Ctr Inc,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)488-2750,200 Charles St,Pittsburgh,PA,15238,1041, , , , , , , 
21387,69,300021850,Crafton Childrens Corner,"Licensed, Private Academic School",Allegheny IU 3,(412)921-2273,545 Hamilton Road,Pittsburgh,PA,15205,0,Director,Ms,Judith,F,Albenze,(412)215-0724, 
21388,70,300021860,Crafton Childrens Corner,"Licensed, Private Academic School",Allegheny IU 3,(412)922-2273,875 Greentree Road,Pittsburgh,PA,15220,0,Director,Ms,Maureen, ,Karas,(412)831-3913, 
21389,71,300022140,Dairy & Nutrition Cncl Mideast,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)367-9120,9370 McKnight Rd Ste 306,Pittsburgh,PA,15237,5953, , , , , , , 
21390,72,300022250,DePaul Institute,Approved Private School,Allegheny IU 3,(412)924-1012,6202 Alder St,Pittsburgh,PA,15206,0,Director,Ms,Mary Jo, ,Maynard,(412)523-6482, 
21391,73,300027640,Diocesan Purchasing Commission,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)922-6400,2900 Noblestown Road,Pittsburgh,PA,15205,4227, , , , , , , 
21392,74,303020409,Discovery School at Beechwood,"Licensed, Private Academic School",Allegheny IU 3,(412)423-5403,614 Dorseyville Rd,Pittsburgh,PA,15238,0,Director, ,Jessica, ,Handron,(412)559-6031, 
21393,75,202027445,East Catholic School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)351-5403,2001 Ardmore Blvd,Pittsburgh,PA,15221,0,Principal,Sr,Judith, ,"Stojhovic, RSM", , 
21394,76,300022840,East Suburban YMCA,"Other Private, Non-Licensed Entity",Allegheny IU 3,(724)327-4667,2200 Route 286,Pittsburgh,PA,15239,2730, , , , , , , 
21395,77,300026270,East Valley Area BSA,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,510 E 10th Ave,Munhall,PA,15120,1910, , , , , , , 
21396,78,300023260,Easter Seals of Western and Central PA,Approved Private School,Pittsburgh-Mt Oliver IU 2,(412)281-7244,41 Macek Drive,Pittsburgh,PA,15227,0,Director,Ms,Patricia, ,Braendle,(412)269-7566, 
21397,79,203022325,Eden Christian Acad - Wexford,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)935-9301,12121 Perry Highway -Suite 101,Wexford,PA,15090,8345,Principal,Mrs,Carrie,A,Powers, , 
21398,80,203020004,Eden Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)741-2825,318 Nicholson Road,Sewickley,PA,15143,0,Principal,Mr,Thomas,R,Aiken, , 
21399,81,203022345,Eden Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)364-8055,206 Siebert Rd,Pittsburgh,PA,15237,3786,Principal,Mrs,Kimberly,A,Highland, , 
21400,82,300023216,Elizabeth Seton Ctr Inc,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1900 Pioneer Ave,Pittsburgh,PA,15226,1299, , , , , , , 
21401,83,202028805,Ellis School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)661-5992,6425 5th Ave,Pittsburgh,PA,15206,4419,Principal,Mrs,Macon, ,Finley, , 
21402,84,300023180,Eloise & Edith School,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)881-4293,108 W 12th Ave,Homestead,PA,15120,1457, , , , , , , 
21403,85,300022600,Ernest T Williams Mem Ctr,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,101 Hazlett St,Pittsburgh,PA,15214,2499, , , , , , , 
21404,86,303020085,Euro Academy,"Licensed, Private Academic School",Allegheny IU 3,(724)553-8356,210 Pearce Mill Rd,Wexford,PA,15090,0,Director,Ms,Jana,B,Putos,(724)553-8356, 
21405,87,202028905,Falk Laboratory School,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)624-8020,4060 Allequippa Street,Pittsburgh,PA,15261,0,Principal, ,Jeff, ,Suzik, , 
21406,88,300023570,Family Development Center,"Licensed, Private Academic School",Allegheny IU 3,(724)935-6199,670 Pleasant Hill Road,Wexford,PA,15090,0,Director,Ms,Krista,L,Dignazio,(724)935-0896, 
21407,89,300027490,Family Resources,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,1100 Freeport Rd,Mars,PA,16046,9419, , , , , , , 
21408,90,300023750,Forest Hills Nursery School,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)241-9414,1840 Ardmore Blvd,Pittsburgh,PA,15221,0,Director,Ms,Elizabeth, ,Wolf,(724)744-1061, 
21409,91,203022675,Fox Chapel Country Day,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)963-8644,620 Squaw Run Rd E,Pittsburgh,PA,15238,1924,Principal, ,Sharon,A,Smith, , 
21410,92,300024030,Friends Indeed Ncojw,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,5604 Solway St,Pittsburgh,PA,15217,1267, , , , , , , 
21411,93,300023960,Friends United Ngb Dev,"Other Private, Non-Licensed Entity",Allegheny IU 3, ,2025 Lincoln Rd,Verona,PA,15147,1554, , , , , , , 
21412,94,300024260,Girl Scouts of SW PA,"Other Private, Non-Licensed Entity",Allegheny IU 3,(412)566-2570,606 Liberty Ave,Pittsburgh,PA,15222,2721, , , , , , , 
21413,95,300024300,Glenn Avenue Preschool Assn,"Licensed, Private Academic School",Allegheny IU 3,(412)487-5366,1520 Butler Plank Road,Glenshaw,PA,15116,0,Director,Ms,Billie,J,Powers,(412)782-3397, 
21414,96,303020078,Goddard School,"Licensed, Private Academic School",Allegheny IU 3,(724)935-1100,3000 Brooktree Rd,Wexford,Pa,15090,0,Director,Ms,Bridget,K,Grottenthaler,(412)629-8723, 
21415,97,303022410,Goddard School,"Licensed, Private Academic School",Allegheny IU 3,(412)515-1997,301 5th Ave,Pittsburgh,PA,15222,0,Director, ,Shanna, ,Litchko,(724)831-7526, 
21416,98,303026503,Goddard School,"Licensed, Private Academic School",Allegheny IU 3,(412)564-3600,655 Painters Run Rd,Pittsburgh,PA,15228,0,Director,Ms,Kayla, ,Dobbin,(724)554-1018, 
21417,99,303027114,Goddard School,"Licensed, Private Academic School",Allegheny IU 3,(412)262-1821,800 Commerce Ave,Moon Township,PA,15108,0,Director,Ms,Angela, ,Caracciolo,(412)576-3317, 
21418,100,202022705,Grace Non-Traditional Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)871-5445,301 College Park Drive,Monroeville,PA,15146,0,Principal,Mr,Ronald,L,Malamisuro, , 
21419,101,202020001,Greater Allen Christian Academy,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)322-1151,1810 Fulton Street,Pittsburgh,PA,15233,0,Principal,Ms,Barbara, ,Joy, , 
21420,102,203022945,Greater Works Christian School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)327-6500,301 College Park Dr,Monroeville,PA,15146,1533,Principal, ,J.R., ,Garner, , 
21421,103,207652255,Harvest Baptist Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(724)295-0607,224 Harvest Lane,Natrona Heights,PA,15065,0,Principal,Mr,Charlie,G,Rousey, , 
21422,104,203022975,Hillcrest Christian Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)854-4040,2500 Bethel Church Rd,Bethel Park,PA,15102,2033,Principal,Mr,Alan, ,Ciechanowski, , 
21423,105,202023005,Hillel Academy of Pittsburgh,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)521-8131,5685 Beacon St,Pittsburgh,PA,15217,0,Director,Rabbi,Samuel,D,Weinberg,(412)521-4284, 
21424,106,202027985,Holy Cross Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)364-7171,307 Siebert Rd,Pittsburgh,PA,15237,0,Principal, ,John, ,Benzing, , 
21425,107,203027948,Holy Family Academy,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)307-1001,8235 Ohio River Boulevard,Pittsburgh,PA,15202,0,Principal, ,Joseph, ,Oliphant, , 
21426,108,300024478,Holy Family Institute Specialized Learning,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)766-9020,100 Enger Avenue,Pittsburgh,PA,15214,0,Director,Mr,Ronald,W,Zangaro,(724)584-8073, 
21427,109,203023295,Holy Trinity School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)787-2656,5720 Steubenville Pike,McKees Rocks,PA,15136,0,Principal,Mrs,Kimberly,N,Stevenson, , 
21428,110,203020005,Homestead Park United Methodist Church Kindergarten,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)462-7089,4231 Shady Avenue,Munhall,PA,15120,0,Principal, ,unknown, ,unknown, , 
21429,111,303027671,Hope Academy of Wexford,"Licensed, Private Academic School",Allegheny IU 3,(724)933-4673,12300 Perry Highway,Wexford,PA,15090,0,Director,Ms,Jennifer,L,Simpkins,(412)498-3765, 
21430,112,300024660,Huntington Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)367-7787,4721 McKnight Rd,Pittsburgh,PA,15237,0,Director,Ms,Jeanne, ,Vendeland,(412)264-4174, 
21431,113,300024690,Huntington Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)856-5250,4326 Northern Pike,Monroeville,PA,15146,0,Director,Ms,Denise, ,Barrett,(412)798-1169, 
21432,114,203023465,Imani Christian Academy,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)731-7982,2150 East Hills Drive,Pittsburgh,PA,15221,0,Director,Ms,Keisha, ,Montgomery,(412)224-3552, 
21433,115,203023465,Imani Christian Academy,"Nonpublic, Non-Licensed School",Pittsburgh-Mt Oliver IU 2,(412)731-7982,2150 East Hills Drive,Pittsburgh,PA,15221,0,Director,Ms,Keisha, ,Montgomery,(412)224-3552, 
21434,116,203023675,Jubilee Christian School,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)561-5917,255 Washington Road,Pittsburgh,PA,15216,0,Principal, ,Robert, ,Hart, , 
21435,117,300029255,Kentucky Avenue Childrens Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)361-6554,905 Mifflin Avenue,Wilkinsburg,PA,15221,0,Director,Ms,Fran, ,Weingrad,(412)731-9339, 
21436,118,302020005,Kentucky Avenue School,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)361-5332,5701 Fifth Avenue,Pittsburgh,PA,15232,0,Director,Ms,Aimee,M,DeFoe,(412)931-3418, 
21437,119,300022860,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)372-3140,2630 Pitcairn Rd,Monroeville,PA,15146,0,Director,Ms,Bonnie,J,Corey,(724)834-4922, 
21438,120,300024510,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)262-1174,700 Commerce Dr,Moon Township,PA,15108,0,Director,Ms,Shawna,N,Kushner,(717)658-6703, 
21439,121,300024610,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)795-8004,201 Twin Oak Dr,Pittsburgh,PA,15235,0,Director,Ms,Linda,J,Shaffer,(724)727-2937, 
21440,122,300025220,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)653-1800,2901 Ridge Rd,South Park,PA,15129,0,Director,Ms,Monica,T,Trinidad,(646)402-3121, 
21441,123,300025230,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(724)935-5711,106 VIP Drive,Wexford,PA,15090,0,Director,Ms,Jennifer,R,Lies,(724)888-6997, 
21442,124,300025240,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)831-1888,1040 Clifton Rd,Bethel Park,PA,15102,0,Director,Ms,Megan,C,Fisher,(412)576-1664, 
21443,125,300025260,Kinder Care Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)366-1303,5000 Cheryl Dr,Pittsburgh,PA,15237,0,Director,Ms,Kate,E,Simeone,(412)366-1303, 
21444,126,300025890,Kinder Care Learning Center,"Licensed, Private Academic School",Pittsburgh-Mt Oliver IU 2,(412)765-3973,600 Grant St,Pittsburgh,PA,15219,2702,Director,Ms,Jennifer,L,Rees,(412)480-1017, 
21445,127,303020087,Kinder Care Learning Center,"Licensed, Private Academic School",Allegheny IU 3,(412)531-1953,1610 N Highland Rd,Mt Lebanon,PA,15228,0,Director,Ms,Melissa,A,Fonda,(412)997-5236, 
21446,128,203020081,Kumon Learning Center of Monroeville,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)372-1021,2644 Mosside Blvd.,Monroeville,PA,15146,0,Principal, ,Anita, ,Hattangady, , 
21447,129,203026910,Kumon Math and Reading Center of Fox Chapel,"Nonpublic, Non-Licensed School",Allegheny IU 3,(412)781-0850,880 Butler Street,Pittsburgh,PA,15223,0,Principal, ,Neelam, ,Mitra, , 
21448,130,300025470,Laughlin Childrens Center,"Licensed, Private Academic School",Allegheny IU 3,(412)741-4087,424 Frederick Ave,Sewickley,PA,15143,0,Director,Ms,Karen,L,Borland,(412)262-3303, 
21449,131,300020590,"Laurel Highlands Council, BSA","Other Private, Non-Licensed Entity",Allegheny IU 3,(724)329-8534,1275 Bedford Ave,Pittsburgh,PA,15219,3645, , , , , , , 
21450,132,300025412,Learning Tree,"Other Private, Non-Licensed Entity",Pittsburgh-Mt Oliver IU 2,(412)247-4900,907 West St,Pittsburgh,PA,15221,0, , , , , , , 
